team_name,stadium,country
Arsenal,Emirates Stadium,England
Aston Villa,Villa Park,England
Bournemouth,Vitality Stadium,England
Brentford,Brentford Community Stadium,England
Brighton and Hove Albion,American Express Stadium,England
Chelsea,Stamford Bridge,England
Coventry City,The Coventry Building Society Arena,England
Crystal Palace,Selhurst Park,England
Everton,Hill Dickinson Stadium,England
Fulham,Craven Cottage,England
